#question; answer; questionLocale; answerLocale
ceruza; potlood; hu; nl
toll; pen; hu; nl
bögre; mok; hu; nl
nyomtató es papír; printer en papier; hu; nl
telefon; telefoon; hu; nl
laptop; laptop; hu; nl
kávéfőző; koffiezetapparaat; hu; nl
asztal; bureau; hu; nl
szék; stoel; hu; nl
lámpa; lamp; hu; nl
pénz; geld; hu; nl
igazolvány; identiteitsbewijs; hu; nl
szemüveg; bril; hu; nl
könyv; boek; hu; nl
papír zsebkendő; papieren zakdoek; hu; nl
kulcs; sleutel; hu; nl
naptár; kalender; hu; nl
mobiltelefon/okostelefon; mobiele telefoon/smartphone; hu; nl
buszjegy; buskaart; hu; nl
gyógyszer; medicijn; hu; nl
kényelmes; comfortabel; hu; nl
új; nieuw; hu; nl
könnyű; licht; hu; nl
jó; goed; hu; nl
kicsi; klein; hu; nl
nagy; groot; hu; nl
szép; mooi; hu; nl
érdekes; interessant; hu; nl
drága; duur; hu; nl
csúnya; lelijk; hu; nl
régi; oud; hu; nl
sötét; donker; hu; nl
unalmas; saai; hu; nl
nehéz; zwaar; hu; nl
rossz; slecht; hu; nl
kényelmetlen; oncomfortabel; hu; nl
olcsó; goedkoop; hu; nl
